City,Population (2011),Population (2001),State or union territory,Population Change,Growth Rate (%)
Mumbai,12442373,11978450.0,Maharashtra,463923.0,3.87
Delhi,11034555,9879172.0,Delhi,1155383.0,11.7
Bengaluru,8443675,5682293.0,Karnataka,2761382.0,48.6
Hyderabad,6993262,5496960.0,Telangana,1496302.0,27.22
Ahmedabad,5577940,4470006.0,Gujarat,1107934.0,24.79
Chennai,4646732,4343645.0,Tamil Nadu,303087.0,6.98
Kolkata,4496694,4580546.0,West Bengal,-83852.0,-1.83
Surat,4467797,2788126.0,Gujarat,1679671.0,60.24
Pune,3124458,2538473.0,Maharashtra,585985.0,23.08
Jaipur,3046163,2322575.0,Rajasthan,723588.0,31.15
Lucknow,2817105,2185927.0,Uttar Pradesh,631178.0,28.87
Kanpur,2765348,2551337.0,Uttar Pradesh,214011.0,8.39
Nagpur,2405665,2052066.0,Maharashtra,353599.0,17.23
Indore,1964086,1503237.0,Madhya Pradesh,460849.0,30.66
Thane,1841488,1262551.0,Maharashtra,578937.0,45.85
Bhopal,1798218,1458416.0,Madhya Pradesh,339802.0,23.3
Visakhapatnam,1728128,1345938.0,Andhra Pradesh,382190.0,28.4
Pimpri-Chinchwad,1727692,1020448.0,Maharashtra,707244.0,69.31
Patna,1684222,1431477.0,Bihar,252745.0,17.66
Vadodara,1670806,1338244.0,Gujarat,332562.0,24.85
Ghaziabad,1648643,968256.0,Uttar Pradesh,680387.0,70.27
Ludhiana,1618879,1398467.0,Punjab,220412.0,15.76
Agra,1585704,1275134.0,Uttar Pradesh,310570.0,24.36
Nashik,1486053,1077236.0,Maharashtra,408817.0,37.95
Faridabad,1414050,1055938.0,Haryana,358112.0,33.91
Meerut,1305429,1068772.0,Uttar Pradesh,236657.0,22.14
Rajkot,1286678,967476.0,Gujarat,319202.0,32.99
Kalyan-Dombivli,1247327,1193512.0,Maharashtra,53815.0,4.51
Vasai-Virar,1222390,518601.0,Maharashtra,703789.0,135.71
Varanasi,1198491,1103952.0,Uttar Pradesh,94539.0,8.56
Srinagar,1180570,935764.0,Jammu and Kashmir,244806.0,26.16
Aurangabad,1175116,873311.0,Maharashtra,301805.0,34.56
Dhanbad,1162472,1031523.0,Jharkhand,130949.0,12.69
Amritsar,1132383,979801.0,Punjab,152582.0,15.57
Navi Mumbai,1120547,704002.0,Maharashtra,416545.0,59.17
Prayagraj,1112544,975393.0,Uttar Pradesh,137151.0,14.06
Howrah,1077075,1007532.0,West Bengal,69543.0,6.9
Ranchi,1073427,847093.0,Jharkhand,226334.0,26.72
Jabalpur,1055525,951472.0,Madhya Pradesh,104053.0,10.94
Gwalior,1054420,827026.0,Madhya Pradesh,227394.0,27.5
Coimbatore,1050721,930882.0,Tamil Nadu,119839.0,12.87
Vijayawada,1034358,941760.0,Andhra Pradesh,92598.0,9.83
Jodhpur,1033756,856525.0,Rajasthan,177231.0,20.69
Madurai,1017865,928869.0,Tamil Nadu,88996.0,9.58
Raipur,1010433,707469.0,Chhattisgarh,302964.0,42.82
Kota,1001694,703150.0,Rajasthan,298544.0,42.46
Guwahati,963429,809895.0,Assam,153534.0,18.96
Chandigarh,960787,808515.0,Chandigarh,152272.0,18.83
Solapur,951118,872478.0,Maharashtra,78640.0,9.01
Hubli–Dharwad,943857,786195.0,Karnataka,157662.0,20.05
Tiruchirappalli,916674,752066.0,Tamil Nadu,164608.0,21.89
Tiruppur,898167,718395.0,Tamil Nadu,179772.0,25.02
Moradabad,889810,641583.0,Uttar Pradesh,248227.0,38.69
Mysore,887446,755379.0,Karnataka,132067.0,17.48
Bareilly,877778,344543.0,Uttar Pradesh,533235.0,154.77
Gurgaon,876824,173542.0,Haryana,703282.0,405.25
Aligarh,872575,669087.0,Uttar Pradesh,203488.0,30.41
Jalandhar,862196,706043.0,Punjab,156153.0,22.12
Bhubaneswar,837737,648032.0,Odisha,189705.0,29.27
Salem,831038,696760.0,Tamil Nadu,134278.0,19.27
Mira-Bhayandar,814655,520388.0,Maharashtra,294267.0,56.55
Warangal,811844,530636.0,Telangana,281208.0,52.99
Thiruvananthapuram,752490,744983.0,Kerala,7507.0,1.01
Guntur,743354,514461.0,Andhra Pradesh,228893.0,44.49
Bhiwandi,711329,598741.0,Maharashtra,112588.0,18.8
Saharanpur,703345,455754.0,Uttar Pradesh,247591.0,54.33
Gorakhpur,671048,622701.0,Uttar Pradesh,48347.0,7.76
Bikaner,647804,529690.0,Rajasthan,118114.0,22.3
Amravati,646801,549510.0,Maharashtra,97291.0,17.71
Noida,642381,305058.0,Uttar Pradesh,337323.0,110.58
Jamshedpur,631364,573096.0,Jharkhand,58268.0,10.17
Bhilai,625697,556366.0,Chhattisgarh,69331.0,12.46
Cuttack,606007,534654.0,Odisha,71353.0,13.35
Firozabad,603797,279102.0,Uttar Pradesh,324695.0,116.34
Kochi,601574,596473.0,Kerala,5101.0,0.86
Nellore,600869,378428.0,Andhra Pradesh,222441.0,58.78
Bhavnagar,593768,511085.0,Gujarat,82683.0,16.18
Dehradun,578420,426674.0,Uttarakhand,151746.0,35.56
Durgapur,566937,493405.0,West Bengal,73532.0,14.9
Asansol,564491,475439.0,West Bengal,89052.0,18.73
Nanded,550564,430733.0,Maharashtra,119831.0,27.82
Kolhapur,549283,493167.0,Maharashtra,56116.0,11.38
Ajmer,542580,485575.0,Rajasthan,57005.0,11.74
Gulbarga,532031,422569.0,Karnataka,109462.0,25.9
Jamnagar,529308,443518.0,Gujarat,85790.0,19.34
Ujjain,515215,430427.0,Madhya Pradesh,84788.0,19.7
Loni,512296,120945.0,Uttar Pradesh,391351.0,323.58
Siliguri,509709,472374.0,West Bengal,37335.0,7.9
Jhansi,507293,383644.0,Uttar Pradesh,123649.0,32.23
Ulhasnagar,506937,473731.0,Maharashtra,33206.0,7.01
Jammu,503690,369959.0,Jammu and Kashmir,133731.0,36.15
Sangli-Miraj & Kupwad,502697,436781.0,Maharashtra,65916.0,15.09
Mangalore,499486,399565.0,Karnataka,99921.0,25.01
Erode,498129,173600.0,Tamil Nadu,324529.0,186.94
Belgaum,488292,399653.0,Karnataka,88639.0,22.18
Ambattur,478134,310967.0,Tamil Nadu,167167.0,53.76
Tirunelveli,473637,411831.0,Tamil Nadu,61806.0,15.01
Malegaon,471006,409403.0,Maharashtra,61603.0,15.05
Gaya,463454,385432.0,Bihar,78022.0,20.24
Jalgaon,460468,368618.0,Maharashtra,91850.0,24.92
Udaipur,451735,389438.0,Rajasthan,62297.0,16.0
Maheshtala,449423,385266.0,West Bengal,64157.0,16.65
Davanagere,435128,364523.0,Karnataka,70605.0,19.37
Kozhikode,432097,436556.0,Kerala,-4459.0,-1.02
Kurnool,430214,269122.0,Andhra Pradesh,161092.0,59.86
Akola,425817,400520.0,Maharashtra,25297.0,6.32
Rajpur Sonarpur,423806,336707.0,West Bengal,87099.0,25.87
Rajahmundry,419818,315251.0,Andhra Pradesh,104567.0,33.17
Bokaro,413934,393805.0,Jharkhand,20129.0,5.11
South Dumdum,410524,392444.0,West Bengal,18080.0,4.61
Bellary,409644,316766.0,Karnataka,92878.0,29.32
Patiala,405164,303151.0,Punjab,102013.0,33.65
Gopalpur,404991,271811.0,West Bengal,133180.0,49.0
